index,time_s,qref1,qref2,qref3,qref4,qref5,qref6,qm1,qm2,qm3,qm4,qm5,qm6,qdotm1,qdotm2,qdotm3,qdotm4,qdotm5,qdotm6,qddotm1,qddotm2,qddotm3,qddotm4,qddotm5,qddotm6,qc1,qc2,qc3,qc4,qc5,qc6,tau_m1,tau_m2,tau_m3,tau_m4,tau_m5,tau_m6,tau_filtered_m1,tau_filtered_m2,tau_filtered_m3,tau_filtered_m4,tau_filtered_m5,tau_filtered_m6,motor_tau1,motor_tau2,motor_tau3,motor_tau4,motor_tau5,motor_tau6,motor_tau_filtered1,motor_tau_filtered2,motor_tau_filtered3,motor_tau_filtered4,motor_tau_filtered5,motor_tau_filtered6
30,0.03,4.03679e-06,-4.9654e-07,0.000483496,5.87459e-06,1.14289e-06,-1.53544e-06,1.5979e-06,1.5979e-06,0.000480368,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,3.07865e-06,-3.76178e-07,0.000482526,4.46925e-06,8.70669e-07,-1.16844e-06,-10.8951,1.16081,-2.97314,1.84336,1.59227,-0.0348638,-11.0063,1.11967,-2.99121,1.87007,1.55447,-0.0617317,-0.04158,0.00063,0.0143,-0.0078,-0.0162,0.0162,-0.0430353,0.00170503,0.0144523,-0.00785504,-0.0160768,0.0161561
31,0.031,4.4519e-06,-5.4915e-07,0.000483917,6.48548e-06,1.26101e-06,-1.69491e-06,1.5979e-06,1.5979e-06,0.000480368,3.1159e-06,4.79369e-07,-4.79369e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,3.42476e-06,-4.19642e-07,0.000482877,4.97683e-06,9.68997e-07,-1.301e-06,-10.8462,1.06494,-3.02148,1.85349,1.53466,0.0101944,-10.9445,1.09855,-3.00289,1.86367,1.54683,-0.0339776,-0.04158,0.00252,0.01265,-0.0076,-0.0162,0.0158,-0.0424737,0.0020195,0.0137569,-0.00775663,-0.0161244,0.0160187
32,0.032,4.89437e-06,-6.05438e-07,0.000484366,7.13755e-06,1.38699e-06,-1.86511e-06,1.5979e-06,1.5979e-06,0.000480567,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,3.79586e-06,-4.66419e-07,0.000483253,5.52184e-06,1.07449e-06,-1.4433e-06,-10.7485,1.11288,-2.94897,1.82312,1.52314,-0.102451,-10.8689,1.10408,-2.98208,1.84802,1.53768,-0.0603995,-0.04284,0.00252,0.0143,-0.0076,-0.0162,0.0164,-0.0426151,0.00221263,0.0139665,-0.00769619,-0.0161536,0.0161658
33,0.033,5.36506e-06,-6.65538e-07,0.000484844,7.8322e-06,1.52109e-06,-2.04639e-06,1.79763e-06,1.5979e-06,0.000480567,3.35558e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,4.19284e-06,-5.16641e-07,0.000483655,6.10565e-06,1.18742e-06,-1.59572e-06,-11.1885,1.11288,-2.90062,1.93448,1.58075,-0.0348638,-10.9922,1.10747,-2.95065,1.88138,1.5543,-0.0505461,-0.04284,0.00252,0.01265,-0.0072,-0.0162,0.0162,-0.0427019,0.00233123,0.0134585,-0.00750472,-0.0161715,0.016179
34,0.034,5.86483e-06,-7.29588e-07,0.000485352,8.57078e-06,1.66357e-06,-2.2391e-06,1.79763e-06,1.5979e-06,0.000480767,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,4.61653e-06,-5.70442e-07,0.000484085,6.72963e-06,1.30802e-06,-1.75859e-06,-11.1885,1.06494,-2.94897,1.87373,1.52314,-0.102451,-11.0679,1.09106,-2.95,1.87843,1.54228,-0.0705747,-0.04032,0.00252,0.0132,-0.0078,-0.0162,0.0154,-0.0417828,0.00240407,0.0133587,-0.00761866,-0.0161825,0.0158784
35,0.035,6.39451e-06,-7.97724e-07,0.000485891,9.35469e-06,1.81468e-06,-2.44362e-06,1.79763e-06,1.5979e-06,0.000480967,3.1159e-06,4.79369e-07,-4.79369e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,5.0678e-06,-6.27956e-07,0.000484543,7.39514e-06,1.43655e-06,-1.93228e-06,-11.4818,0.921129,-2.94897,1.85349,1.56923,-0.0461284,-11.2276,1.02549,-2.9496,1.86881,1.55268,-0.0611416,-0.03969,0.00063,0.0132,-0.0068,-0.0164,0.0164,-0.0409752,0.00171951,0.0132975,-0.00730277,-0.0162664,0.0160797
36,0.036,6.95496e-06,-8.70084e-07,0.000486461,1.01853e-05,1.97466e-06,-2.66028e-06,1.99737e-06,1.39816e-06,0.000481167,3.1159e-06,4.79369e-07,-4.79369e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,5.5475e-06,-6.8932e-07,0.00048503,8.10357e-06,1.57326e-06,-2.11715e-06,-10.8462,1.11288,-3.02148,1.85349,1.55771,-0.0348638,-11.0805,1.05921,-2.97734,1.86289,1.55462,-0.0510018,-0.04095,0.00189,0.01265,-0.007,-0.0162,0.0158,-0.0409655,0.0017853,0.0130476,-0.00718594,-0.0162408,0.0159718
37,0.037,7.54702e-06,-9.4681e-07,0.000487064,1.1064e-05,2.14378e-06,-2.88946e-06,2.19711e-06,1.39816e-06,0.000481566,3.35558e-06,7.19053e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,6.05648e-06,-7.54669e-07,0.000485548,8.85629e-06,1.71841e-06,-2.31354e-06,-10.944,1.06494,-3.02148,1.78262,1.59227,-0.0461284,-11.0278,1.06142,-2.99437,1.83192,1.56915,-0.0491213,-0.04032,0.00315,0.01265,-0.0074,-0.0162,0.0158,-0.0407164,0.0023119,0.0128942,-0.00726854,-0.016225,0.0159055
38,0.038,8.17154e-06,-1.02804e-06,0.0004877,1.19922e-05,2.32229e-06,-3.1315e-06,2.39684e-06,1.39816e-06,0.000481766,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,6.59558e-06,-8.2414e-07,0.000486096,9.65469e-06,1.87225e-06,-2.52182e-06,-10.8951,1.017,-2.87645,1.87373,1.55771,-0.0348638,-10.9766,1.04428,-2.94887,1.84805,1.56473,-0.0436198,-0.03843,0.00315,0.0121,-0.0064,-0.0166,0.0158,-0.0398342,0.00263529,0.0125877,-0.0069334,-0.0163697,0.0158648
39,0.039,8.82935e-06,-1.11392e-06,0.000488371,1.29713e-05,2.51044e-06,-3.38677e-06,2.39684e-06,1.19842e-06,0.000481966,3.35558e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,7.16566e-06,-8.97874e-07,0.000486676,1.05001e-05,2.03504e-06,-2.74234e-06,-10.9929,1.16081,-2.99731,1.85349,1.52314,-0.057393,-10.9829,1.08925,-2.96756,1.85015,1.54868,-0.0489344,-0.03717,0.00315,0.0121,-0.0066,-0.0164,0.016,-0.0388061,0.0028339,0.0123995,-0.00680475,-0.0163814,0.015917
